===============================================================================
Id,NFLX,len,datetime,open,high,low,close,volume,openinterest,AMZN,len,datetime,open,high,low,close,volume,openinterest,Strategy_pairGen,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,NFLX,AMZN
23,NFLX,23,2021-08-03 23:59:59.999989,145.3123,145.9314,145.1126,145.7217,8524353.0,0.0,AMZN,23,2021-08-03 23:59:59.999989,284.915,285.82,284.21,285.1,2023066.0,0.0,Strategy_pairGen,23,738005.9999999999,Broker,23,100000.0,100000.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,NFLX,24,2021-08-03 23:59:59.999989,145.7117,146.84,145.2174,146.7902,8086228.0,0.0,AMZN,24,2021-08-03 23:59:59.999989,285.09,286.84,284.25,286.68,1841233.0,0.0,Strategy_pairGen,24,738005.9999999999,Broker,24,100000.0,100000.0,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,NFLX,25,2021-08-03 23:59:59.999989,146.8002,147.529,146.7294,147.509,6885694.0,0.0,AMZN,25,2021-08-03 23:59:59.999989,286.68,287.05,286.37,286.952,1204355.0,0.0,Strategy_pairGen,25,738005.9999999999,Broker,25,100000.0,100000.0,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,NFLX,26,2021-08-03 23:59:59.999989,147.509,147.8235,147.489,147.6039,5272709.0,0.0,AMZN,26,2021-08-03 23:59:59.999989,286.96,287.1,286.17,286.31,974227.0,0.0,Strategy_pairGen,26,738005.9999999999,Broker,26,100000.0,100000.0,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,NFLX,27,2021-08-03 23:59:59.999989,147.6088,147.7387,146.9099,147.2194,4906971.0,0.0,AMZN,27,2021-08-03 23:59:59.999989,286.325,287.07,286.065,286.71,1051884.0,0.0,Strategy_pairGen,27,738005.9999999999,Broker,27,100000.0,100000.0,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,NFLX,28,2021-08-03 23:59:59.999989,147.2194,147.519,146.9199,147.1196,7983796.0,0.0,AMZN,28,2021-08-03 23:59:59.999989,286.72,287.23,286.315,287.12,1975307.0,0.0,Strategy_pairGen,28,738005.9999999999,Broker,28,100000.0,100000.0,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,NFLX,29,2021-08-03 23:59:59.999989,147.1396,147.1995,147.0896,147.1396,4497048.0,0.0,AMZN,29,2021-08-03 23:59:59.999989,287.12,287.2,286.81,287.05,2220143.0,0.0,Strategy_pairGen,29,738005.9999999999,Broker,29,100000.0,100000.0,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,NFLX,30,2021-08-03 23:59:59.999989,147.1396,147.2594,147.1296,147.1995,33281.0,0.0,AMZN,30,2021-08-03 23:59:59.999989,287.1,287.1,286.9,286.9,2112.0,0.0,Strategy_pairGen,30,738005.9999999999,Broker,30,100000.0,100000.0,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,NFLX,31,2021-08-03 23:59:59.999989,147.1995,147.2594,146.8799,146.9798,53633.0,0.0,AMZN,31,2021-08-03 23:59:59.999989,286.9,287.03,286.56,286.79,4607.0,0.0,Strategy_pairGen,31,738005.9999999999,Broker,31,100000.0,100000.0,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,NFLX,32,2021-08-03 23:59:59.999989,146.9299,146.9798,146.7901,146.8799,66073.0,0.0,AMZN,32,2021-08-03 23:59:59.999989,286.65,286.7,286.3,286.3,7902.0,0.0,Strategy_pairGen,32,738005.9999999999,Broker,32,100000.0,100000.0,BuySell,32,,,BuySell,32,,,DataTrades,32,,
