Date,A,AA,AAPL,AMZN
2022-03-10,134.330002,82.940002,158.520004,2936.350098
2022-03-11,130.309998,79.040001,154.729996,2910.48999
2022-03-14,127.580002,73.5,150.619995,2837.060059
2022-03-15,130.279999,73.709999,155.089996,2947.330078
2022-03-16,135.0,75.629997,159.589996,3062.080078
2022-03-17,136.820007,80.730003,160.619995,3144.780029
2022-03-18,139.119995,82.440002,163.979996,3225.01001
2022-03-21,138.139999,90.690002,165.380005,3229.830078
2022-03-22,139.289993,89.879997,168.820007,3297.780029
2022-03-23,134.179993,94.220001,170.210007,3268.159912
2022-03-24,136.410004,95.059998,174.070007,3272.98999
